held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,13.542,0.38778,15.1912,0.38438
20,0,20.0,12.8441,0.35671,12.7816,0.31133
30,0,30.0,11.6206,0.3129,11.5948,0.2524
40,0,40.0,10.6167,0.28311,10.7894,0.20566
50,90,-40.0,10.7416,0.18981,9.1972,0.19256
60,90,-30.0,10.2119,0.22254,9.3657,0.21268
70,90,-20.0,10.6329,0.28401,10.1655,0.26567
80,90,-10.0,11.7751,0.37734,11.9156,0.34401
100,90,10.0,11.9923,0.32846,12.9269,0.33168
110,90,20.0,11.0378,0.23101,10.9046,0.22943
120,90,30.0,12.3244,0.26165,11.0872,0.2581
130,90,40.0,12.7349,0.25504,11.2368,0.28209
140,180,-40.0,12.1594,0.34728,11.5919,0.3013
150,180,-30.0,12.2532,0.35196,11.7178,0.30104
160,180,-20.0,12.8776,0.37278,12.1325,0.33291
170,180,-10.0,12.6605,0.36631,12.3906,0.34377
190,180,10.0,13.7443,0.39363,14.9096,0.40034
200,180,20.0,12.9864,0.37067,13.2337,0.34088
210,180,30.0,12.3476,0.3371,12.1148,0.29333
220,180,40.0,12.0427,0.31086,11.4348,0.25862
230,270,-40.0,12.3172,0.27993,11.6581,0.27961
240,270,-30.0,12.2502,0.2834,11.925,0.28406
250,270,-20.0,11.8669,0.30021,12.0233,0.28467
260,270,-10.0,11.9335,0.31957,12.4707,0.30611
280,270,10.0,13.6146,0.47059,15.5944,0.46002
290,270,20.0,13.3397,0.38374,13.1101,0.365
310,270,40.0,13.3229,0.29099,11.8139,0.28281
320,0,-40.0,11.5908,0.27407,10.7589,0.21027
330,0,-30.0,10.9213,0.26037,10.4483,0.20147
340,0,-20.0,11.694,0.29966,11.5124,0.24784
350,0,-10.0,12.9778,0.38031,15.8267,0.45539
