held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,13.542,0.38778,15.1912,0.38438
20,30,-10.0,14.0915,0.43839,16.3289,0.42996
40,30,10.0,12.6134,0.33782,14.8126,0.36915
50,60,-10.0,12.3736,0.34332,14.7078,0.351
70,60,10.0,13.5797,0.37623,14.2596,0.36078
80,90,-10.0,11.7751,0.37734,11.9156,0.34401
100,90,10.0,11.9923,0.32846,12.9269,0.33168
110,120,-10.0,11.8556,0.26335,14.9048,0.30923
130,120,10.0,13.6903,0.38262,16.9558,0.39619
140,150,-10.0,13.3237,0.3882,15.7868,0.38519
160,150,10.0,14.4275,0.44514,17.0061,0.43391
170,180,-10.0,12.6605,0.36631,12.3906,0.34377
190,180,10.0,13.7443,0.39363,14.9096,0.40034
200,210,-10.0,13.6018,0.42006,16.5048,0.39768
220,210,10.0,13.7241,0.36469,16.4577,0.38697
230,240,-10.0,12.7195,0.34945,17.7965,0.41595
250,240,10.0,13.5934,0.36282,16.965,0.38663
260,270,-10.0,11.9335,0.31957,12.4707,0.30611
280,270,10.0,13.6146,0.47059,15.5944,0.46002
290,270,20.0,13.3397,0.38374,13.1101,0.365
320,310,10.0,13.4821,0.38022,18.6281,0.4976
330,340,-10.0,12.4714,0.32172,14.0238,0.31419
350,0,-10.0,12.9778,0.38031,15.8267,0.45539
