name,ring,index,original,width,height,focal_mm,f_number,lens,iso,exposure_s,sha256
mid_015.jpg,mid,15,data/Middle ring/14.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,3ed8efe7a4aa8ade3a922e684bc455463f553184b6c65cfc12341a82ed1dc00e
mid_016.jpg,mid,16,data/Middle ring/15.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,5fadc2cf015fa91452b25447fb92a42339237c41b5e4523255ffe2cd3f82d95b
mid_017.jpg,mid,17,data/Middle ring/16.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,afa639a7ac4e70c2cc6dce50648c2dea646a1a1af7dfcc5fe2da1f7d8c2ec59a
mid_018.jpg,mid,18,data/Middle ring/17.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.01694915254237288,6aa4e0159eb2abb20880516b900dff2d9722ce3e0e0cf275a87693714c3d8e77
mid_019.jpg,mid,19,data/Middle ring/18.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,640,0.01694915254237288,72c92753f2dbd655a258ca5f3a32cbf9b3200462ffabfc517fd8af4c8e9ef523
mid_020.jpg,mid,20,data/Middle ring/19.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,b17e2047953779c942abd121f9511377f057ba785d866cc8c4117daf2ccfef88
mid_021.jpg,mid,21,data/Middle ring/20.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,f1e3d6d029f043326a4a7e8cbb4935360c100a5ef715ca0217be84ceefabb39a
mid_022.jpg,mid,22,data/Middle ring/21.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,8e321a71cb51a6fac246b75b2a556140095afa7ae262219b1b1cbea77b5f0ad9
mid_023.jpg,mid,23,data/Middle ring/22.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,9b78938d78c8863f2a08b8eb36156833d7627d9623aad49c84c6d4b91b90ad98
mid_024.jpg,mid,24,data/Middle ring/23.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,da57a345080bf9a797e9f3d788a07be2643d1ca214e53cacc1ec8c6b94728764
mid_025.jpg,mid,25,data/Middle ring/24.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,9a407ac013eaae8f6052104ef263a41b87aa32380d7ec4d47fc1e7e9b9fba8c9
mid_026.jpg,mid,26,data/Middle ring/25.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,500,0.020833333333333332,d771a4e00dc64465d1950587146f837d35f4c5ddd0f5fdef0f8da2fe7ab53b85
mid_027.jpg,mid,27,data/Middle ring/26.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.020833333333333332,5d7bfedcb355c9bec81f1c76d32205f9bfbf807a07e4dd3b9f7fa20ef3c8d3b3
mid_028.jpg,mid,28,data/Middle ring/27.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,cd716e227aff99a938c6559f9598f63ea8388f5b1436a5523b1265935f24c676
mid_029.jpg,mid,29,data/Middle ring/28.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,d36187c389aa3a654333161d818d278d5ea20551048eebf318a9169b3b74ad8c
mid_030.jpg,mid,30,data/Middle ring/29.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,320,0.020833333333333332,529c5aa2ab89d86e534364c4cac697f1ec2cfe7e5645ca34c990a542322ae287
