held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,15.0509,0.39615,15.1912,0.38438
20,0,20.0,13.1907,0.33022,12.7816,0.31133
30,0,30.0,11.8899,0.31115,11.5948,0.2524
40,0,40.0,10.6584,0.28518,10.7894,0.20566
50,90,-40.0,10.0166,0.17496,9.1972,0.19256
60,90,-30.0,9.8731,0.21649,9.3657,0.21268
70,90,-20.0,10.2884,0.26675,10.1655,0.26567
80,90,-10.0,11.8053,0.35223,11.9156,0.34401
100,90,10.0,12.6127,0.33441,12.9269,0.33168
110,90,20.0,10.9902,0.22837,10.9046,0.22943
120,90,30.0,11.7168,0.25501,11.0872,0.2581
130,90,40.0,11.5898,0.26662,11.2368,0.28209
140,180,-40.0,11.217,0.31521,11.5919,0.3013
150,180,-30.0,11.5096,0.31372,11.7178,0.30104
160,180,-20.0,11.9123,0.33126,12.1325,0.33291
170,180,-10.0,12.0685,0.34144,12.3906,0.34377
190,180,10.0,14.0003,0.38545,14.9096,0.40034
200,180,20.0,12.516,0.35619,13.2337,0.34088
210,180,30.0,11.4746,0.30708,12.1148,0.29333
220,180,40.0,11.1317,0.29999,11.4348,0.25862
230,270,-40.0,11.2032,0.26181,11.6581,0.27961
240,270,-30.0,11.5399,0.24836,11.925,0.28406
250,270,-20.0,11.6699,0.27009,12.0233,0.28467
260,270,-10.0,12.3587,0.3081,12.4707,0.30611
280,270,10.0,14.6206,0.46129,15.5944,0.46002
290,270,20.0,12.879,0.35869,13.1101,0.365
300,270,30.0,16.3032,0.48465,19.8867,0.58414
310,270,40.0,12.5454,0.28332,11.8139,0.28281
320,0,-40.0,10.9159,0.26003,10.7589,0.21027
330,0,-30.0,10.5786,0.23584,10.4483,0.20147
340,0,-20.0,11.4332,0.27947,11.5124,0.24784
350,0,-10.0,14.3885,0.3897,15.8267,0.45539
