held_out_deg,captured_deg,delta_deg,psnr_render_db,ssim_render,psnr_baseline_db,ssim_baseline
10,0,10.0,13.542,0.38778,15.1912,0.38438
20,0,20.0,12.8441,0.35671,12.7816,0.31133
30,0,30.0,11.6206,0.3129,11.5948,0.2524
40,60,-20.0,12.498,0.33516,13.3922,0.31793
50,60,-10.0,12.3736,0.34332,14.7078,0.351
70,60,10.0,13.5797,0.37623,14.2596,0.36078
80,60,20.0,12.2926,0.28882,11.0593,0.28653
90,60,30.0,11.2895,0.27082,9.3657,0.21268
100,120,-20.0,11.6531,0.30184,12.5147,0.27215
110,120,-10.0,11.8556,0.26335,14.9048,0.30923
130,120,10.0,13.6903,0.38262,16.9558,0.39619
140,120,20.0,13.7576,0.38728,15.2577,0.35101
150,120,30.0,13.2618,0.36457,13.4977,0.3007
160,180,-20.0,12.8776,0.37278,12.1325,0.33291
170,180,-10.0,12.6605,0.36631,12.3906,0.34377
190,180,10.0,13.7443,0.39363,14.9096,0.40034
200,180,20.0,12.9864,0.37067,13.2337,0.34088
210,180,30.0,12.3476,0.3371,12.1148,0.29333
220,240,-20.0,12.6645,0.35412,15.3936,0.34557
230,240,-10.0,12.7195,0.34945,17.7965,0.41595
250,240,10.0,13.5934,0.36282,16.965,0.38663
260,240,20.0,13.0526,0.32149,14.0438,0.31468
270,240,30.0,13.216,0.36453,11.925,0.28406
280,310,-30.0,13.4516,0.35945,12.4777,0.30396
290,310,-20.0,14.1617,0.3692,14.814,0.38393
320,310,10.0,13.4821,0.38022,18.6281,0.4976
330,310,20.0,12.4929,0.33631,14.4639,0.36418
340,0,-20.0,11.694,0.29966,11.5124,0.24784
350,0,-10.0,12.9778,0.38031,15.8267,0.45539
